index,URL,Title,Author,Year,Topic,Subtopic_1,Subtopic_2,Goal_Primary,Goal_Secondary,User,COVID19,Media Mix,Interactive,Method,Tool,Picture,Link,Picture_name,Context: Online,Context: Offline,Sonification_Art_Blog,Link_to_Sonification_Art_Blog,Link to news,Preview of the sonification on website,Thumbnail Image,Link to explanation,Description
,ESAGaiasonification,ESAGaia sonification,European Space Agency,2018,Physical Sciences,Astronomy,,Public Engagement,,,,,,Parameter Mapping,,,https://twitter.com/esascience/status/990625583989186560,Gaia,,,1,,,,,,
,AstronomySoundsoftheMonth,Astronomy Sounds of the Month,Greg Salvesen,2018,Physical Sciences,Astronomy,,Public Engagement,,,,,,Parameter Mapping,,,https://astrosom.com/archive.html,Astronomy Sounds of the Month,,,,,,,,,
,MultivariableDataSonification-SolarActivities,Multivariable Data Sonification - Solar Activities,Gregorio Panerai,2018,Physical Sciences,Astronomy,,Research,,,,,,Parameter Mapping,,,https://vimeo.com/500802823,Multivariable Data Sonification - Solar Activities,,,,,,,,,
,56Fe(2018),56Fe (2018),Falk Morawitz,2018,Physical Sciences,Chemistry,,Art,,,,,,Parameter Mapping,,n,https://soundcloud.com/falk-morawitz/56fe-2018,,,,,,,,,,
,FaultTrace,Fault Trace,David Johnson,2018,Physical Sciences,Earth Science,,Art,,,,,,Parameter Mapping,,,https://github.com/struct78/fault-trace,Fault Trace,,,1,https://sonificationart.wordpress.com/2019/01/29/the-poseidon-project-and-fault-trace/,,,,,
,TheMuscamulecularcloud:Aninterstellarsymphony,The Musca mulecular cloud: An interstellar symphony,Aris Tritsis,2018,Physical Sciences,Astronomy,,Research,,,,,,Audification,,,https://www.youtube.com/watch?v=_nbwkGlWEJQ&t=94s,Musca,,,,,,,,,
,"PlanetaryOctect,withApologiestoPluto","Planetary Octect, with Apologies to Pluto",Greg Salvesen,2018,Physical Sciences,Astronomy,,Public Engagement,,,,,,Parameter Mapping,,,https://astrosom.com/Nov2018.php,PlanetaryOctet,,,,,,,,,
,TheSoundandtheSocial-SonificationinSocialResearch,The Sound and the Social - Sonification in Social Research,Joachim Allhoff,2018,Sociology,,,Social Research,,,,,,Parameter Mapping,,,https://soundcloud.com/user-396789357/soundofthesocial-10,The Sound and the Social - Sonification in Social Research,,,,,,,,,
,ReimagineTheGame,Reimagine The Game,The Economist,2018,Sport,,,Public Engagement,,,,,,Audification,,,https://reimaginethegame.economist.com/en/intro/,Reimagine The Game,,,,,,,,,
,Birdspace,Birdspace,Interactive Architecture Lab,2018,Mobility,,,Art,,,,,,Parameter Mapping,,,http://www.interactivearchitecture.org/lab-projects/birdspace,Birdspace,,,1,,,,,,
,"Mr.BlackHole,WillYouGointoOutburst,Please?","Mr. Black Hole, Will You Go into Outburst, Please?",Greg Salvesen,2018,Physical Sciences,Astronomy,,Public Engagement,,,,Yes/Video,,Parameter Mapping,,,https://astrosom.com/Oct2018.php,MrBlackHole,,,,,,,,,
,KeplerExoplanetTransitsTurnedIntoSound,Kepler Exoplanet Transits Turned Into Sound,Erin Braswell,2018,Physical Sciences,Astronomy,,Research,,Researchers,,Yes/DataViz,,Parameter Mapping,,,https://www.youtube.com/watch?v=1_g-nbUz8pM&t=23s,KeplerExoplanet,,,,,,,,,
,TheMilkyWayBlues,The Milky Way Blues,Mark Heyer  and Greg Salvesen,2018,Physical Sciences,Astronomy,,Public Engagement,,General Public,,Yes/DataViz,,Parameter Mapping,,,https://astrosom.com/May2018.php,MilkyWayBues,,,,,,,,,
,NeveraMundaneSupernovaintheSky,Never a Mundane Supernova in the Sky,Greg Salvesen,2018,Physical Sciences,Astronomy,,Public Engagement,,General Public,,Yes/DataViz,,Parameter Mapping,,,https://astrosom.com/Feb2018.php,Supernova,,,,,,,,,
,TrueLoveWaits-TheinnersolarsystemplaysRadioheadsaddestsong,True Love Waits - The inner solar system plays Radiohead saddest song,SYSTEM Sounds,2018,Physical Sciences,Astronomy,,Public Engagement,,General Public,,Yes/DataViz,,Parameter Mapping,,,https://www.system-sounds.com/true-love-waits/,TrueLove,,,,,,,,,
,TheSoundofJupiter'sMoons,The Sound of Jupiter's Moons,SYSTEM Sounds,2018,Physical Sciences,Astronomy,,Public Engagement,,General Public,,Yes/DataViz,,Parameter Mapping,,,https://www.system-sounds.com/jupiters-moons/,JupitersMoons,,,,,,,,,
,BlackWidowsPulsar,Black Widows Pulsar,SYSTEM Sounds,2018,Physical Sciences,Astronomy,,Public Engagement,,General Public,,Yes/DataViz,,Parameter Mapping,,,https://www.system-sounds.com/black-widow-pulsar/,BlackWidowsPulsar,,,,,,,,,
,TheUniverseItselfKeepsonExpandingandExpanding,The Universe Itself Keeps on Expanding and Expanding,Greg Salvesen,2018,Physical Sciences,Astronomy,,Public Engagement,,General Public,,Yes/Graphics,,Parameter Mapping,,,https://astrosom.com/Jun2018.php,UniverseExpanding,,,,,,,,,
,OurGalaxyisOnlyOneofTrillionsinthisAmazingandExpandingUniverse,Our Galaxy is Only One of Trillions in this Amazing and Expanding Universe,Greg Salvesen,2018,Physical Sciences,Astronomy,,Public Engagement,,General Public,,Yes/GUI,,Parameter Mapping,,,https://astrosom.com/Jan2018.php,OurGalaxy,,,,,,,,,
,Jupiter'sMoons,Jupiter's Moons,SYSTEM Sounds,2018,Physical Sciences,Astronomy,,Public Engagement,,General Public,,Yes/GUI,,Parameter Mapping,,,https://matt-russo.github.io/systemsounds-apps/jupiters-moons/,JupiterRhythm,,,,,,,,,
,GalaxyPlayer,Galaxy Player,Binary Dust,2018,Physical Sciences,Astronomy,,Research,,General Public,,Yes/GUI,,Parameter Mapping,,,https://soniverse.space/galaxy-player/,Soniverse,,,,,,,,,
,LightSound,LightSound,"Allyson Bieryla, Sóley Hyman (University of Arizona), Daniel Davis (Harvard University), Wanda Diaz Merced",2017,Physical Sciences,Astronomy,Tool,Accessibility,,,,,,Parameter Mapping,1,,http://astrolab.fas.harvard.edu/LightSound-IAU100.html,LightSound2.0,,,,,,,,,
,Mesh,Mesh,Inouk Demers,2017,Art,,,Accessibility,,,,,,Model Sonification,,,https://www.youtube.com/watch?v=1MIQs8NSfWI&utm_content=buffer3c76e&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,MESH,,,1,,,,,,
,ClimateSymphony,Climate Symphony,Jamie Perera,2017,Climate Change,,,Public Engagement,,Public,,Yes/Video,No,Parameter Mapping,,,https://soundcloud.com/disobedientfilms,Climate Symphony,Player,Public Venue (live performance),,,https://www.disobedientfilms.com/climate-change-data-is-being-transformed-wired,Sonification is on Soundcloud,No,,
,SoNSTAR,SoNSTAR,Paul Vickers,2017,Cybersecurity,,,Monitoring,,Domain Experts,,,,Parameter Mapping,,n,https://zenodo.org/record/1072535#.X6E4mJNKhTY,,,Security Operations Center,,,,Sonification can be downloaded from the page,No,https://paulvickers.github.io/SoNSTAR/,
,Thesoundofafallingcurrency,The sound of a falling currency,"Neal Razzell, BBC",2017,Finance,,,Data Journalism,,,,,,Parameter Mapping,,,https://goo.gl/XXAt4t,The sound of a falling currency,,,n,https://goo.gl/tKU8m2,,,,,
