Title,Author,Year,Topic,Goal,User,COVID19,Context: Online,Context: Offline,Media_Mix,Interactive,Type,Picture,Sonification_Art_Blog,Link,Link_to_Sonification_Art_Blog,Preview of the sonification on website,Thumbnail Image,Link to news,Link to explanation,Picture_name
Shifting Apple Blossom in Bremen - Data Sonification with a Music Box,Katja Striedelmeyer,2019,Climate Change,Public Engagement,,,,,,,Parameter Mapping,,,https://vimeo.com/326617760,,,,,,Shifting Apple Blossom in Bremen - Data Sonification with a Music Box
Sonification for cyber-attacks on water distribution systems,"Sara Lenzi, Ginevra Terenghi, Riccardo Taormina, Stefano Galelli, Paolo Ciuccarelli",2019,Networks Management,Data Monitoring,,,,,,,Parameter Mapping,,,https://ginevraterenghi.github.io/sonifying-cyber-attacks/index.html,,,,,,Sonification for cyber-attacks on water distribution systems
The Silent Cries of China Depressed Netizens,Liu Chang,2019,Public Health,Public Engagement,,,,,,,Parameter Mapping,,,http://www.sixthtone.com/news/1004543/the-silent-cries-of-chinas-depressed-netizens,,,,,,The Silent Cries of China Depressed Netizens
Skin cancer detection by sonification,Avi Dascalu and Eli David,2019,Medicine,Data Analysis,,,,,,,Parameter Mapping,n,,https://www.thelancet.com/journals/ebiom/article/PIIS2352-3964(19)30294-4/fulltext,,,,,,Skin cancer detection by sonification
Sonification of Salmon Migration in the Snake River,"Ben Robertson, Dr Middleton, Dr Hegg",2018,Natural Science,Scientific Investigation,Domain Experts,,Player,Research Lab,Yes/Video,No,Parameter Mapping,,,https://www.youtube.com/watch?v=bhpHi8TOryY&feature=youtu.be&sf182709908=1,,Sonifcation is a video,https://www.youtube.com/watch?v=bhpHi8TOryY&feature=youtu.be&sf182709908=1,,https://www.cell.com/heliyon/fulltext/S2405-8440(17)31718-8,Sonification of Salmon Migration in the Snake River
Whales Call,Google AI + NOAA (National Oceanic and Atmospheric Administration),2018,Biology,Scientific Investigation,Domain Experts,,,Research Lab,Don't know,No,Audification,,,https://ai.googleblog.com/2018/10/acoustic-detection-of-humpback-whales.html,,Cannot listen to the sonification,No,https://techcrunch.com/2018/10/29/google-ai-listens-to-15-years-of-sea-bottom-recordings-for-hidden-whale-songs/?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAACSuj-fV8Nbs83rOl5fvJG7jrgiJ7laNxxp7_L14O4B93wSzOzg3S_gMEYFupWYd3DB5NePW87_hwTUdDcEC46WlBe_NK02d3UGIOFFpO6wlEtMQ5j2gvEwNqsBlhFXOI7ZaeLWHuAgANiJjWQ5eAWH5FOvJfkAtRkbyQsLI0zou,,Whales Call
Mars Soundscape,NASA/Domenico Vicinanza,2018,Astronomy,Public Engagement,Public,,Player,,Yes/Video,No,Parameter Mapping,,,https://www.youtube.com/watch?v=loXhsglsG-w&feature=emb_title,,Sonifcation is a video,https://www.youtube.com/watch?v=loXhsglsG-w&feature=emb_title,https://arstechnica.com/science/2018/11/the-sounds-of-a-martian-sunrise-inspire-short-musical-composition/,,Mars Soundscape
Hear Climate Data Turned Into Music,Chris Chafe of the Center for Computer Research in Music and Acoustics at Stanford,2018,Climate Change,Public Engagement,Public,,Player,,Yex/VIdeo,No,Parameter Mapping,,,https://www.youtube.com/watch?time_continue=26&v=ONuA9HmkF3M&feature=emb_logo,,Sonifcation is a video,https://www.youtube.com/watch?v=ONuA9HmkF3M&feature=emb_logo,,,Hear Climate Data Turned Into Music
Electric Acoustic,"Gray Crawford, Shengzhi Wu, Devika Singh, and Dan Lockton",2018,Energy consumption,Public Engagement,,,,,,,Parameter Mapping,,,http://imaginari.es/electric-acoustic-exploring-energy-as-a-design-material-through-sonic-and-vibration-displays/,,,,,,Electric Acoustic
Tower of Hanoi,Phillp Hermans,2018,Gaming,Education,,,,,,,Parameter Mapping,,,http://philliphermans.com/hanoi/,,,,,,Tower of Hanoi
